App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
SANSKAR TUTORIALS,com.myeduter_sanskar.web2apk,Education,0.0,0,5+,5,7,True,0,USD,374k,4.0 and up,MYEDUTER,,contact@myeduter.com,"Jan 22, 2020","Jan 23, 2020",Everyone,http://www.myeduter.com,False,False,False,2021-06-16 12:47:55
Huge Lock Screen Clock,com.cama.app.hugelockscreenclock,Personalization,3.9,68,"1,000+",1000,3187,False,1.99,USD,2.9M,6.0 and up,Riccardo Camattari,https://www.camasapp.com/,riccardo.camattari@gmail.com,"May 15, 2020","Apr 09, 2021",Everyone,https://www.iubenda.com/privacy-policy/66595522,False,False,False,2021-06-16 12:47:55
Train Driver 2016,com.igames.traindriver2016,Simulation,3.8,9900,"1,000,000+",1000000,1238099,True,0,USD,Varies with device,2.3 and up,Puffy Thumb - Free Games,http://www.iGamesEntertainment.com,info@iGamesEntertainment.com,"May 5, 2016","Feb 02, 2018",Everyone,http://igamesentertainment.com/privacypolicy/,True,True,False,2021-06-16 12:47:55
AppLock,app.lock,Tools,3.7,6,100+,100,362,True,0,USD,5.3M,4.2 and up,ShieldApps,http://www.shieldapps.com,support@shieldapps.com,"May 29, 2018","Jun 20, 2018",Everyone,http://shieldapps.com/privacy-policy/,True,True,False,2021-06-16 12:47:55
EBH House,com.ebh.house,Lifestyle,0.0,0,100+,100,115,True,0,USD,12M,5.0 and up,Mall Collections,http://doctorsapk.com/,info@ebhhouse.com,"Oct 13, 2020","Mar 19, 2021",Everyone,,True,False,False,2021-06-16 12:47:55
DLX Rider,com.exparkrider,Maps & Navigation,0.0,0,100+,100,217,True,0,USD,12M,4.1 and up,SparkPoint Technologies Inc.,https://dlveryexpark.com/,support@dlveryexpark.com,"Aug 26, 2019","Sep 14, 2019",Everyone,https://dlvery-expark.flycricket.io/privacy.html,False,False,False,2021-06-16 12:47:55
Orbies,com.orb.orbiesapp,Social,4.7,25,500+,500,569,True,0,USD,4.5M,4.3 and up,Orbies Team,http://orbiesapp.com/,orbiesapp@gmail.com,"Jul 16, 2017","Dec 15, 2017",Teen,http://orbiesapp.com/privacypolicy,True,False,False,2021-06-16 12:47:55
ماي مارت,sa.com.mymart,Shopping,3.6,141,"10,000+",10000,45927,True,0,USD,10M,4.2 and up,My Mart,https://www.mymart.com.sa/,store@mymart.com.sa,"Apr 28, 2019","Aug 20, 2020",Everyone,https://www.mymart.com.sa/Privacy-policy,False,False,False,2021-06-16 12:47:55
Slender - Sit by Bonfire,com.TastyPie.SitbyBonfire,Adventure,5.0,14,100+,100,473,True,0,USD,41M,4.4 and up,Tasty Pie,,tastypiegames@gmail.com,"Jan 26, 2021","Mar 03, 2021",Teen,https://tastypie-games.blogspot.com/p/privacy-policy-slender-sit-by-bonfire_25.html,True,False,False,2021-06-16 12:47:55
KigaRoo für Eltern,de.kigaroo.app6,Parenting,0.0,0,"1,000+",1000,3843,True,0,USD,41M,5.1 and up,Speicherhafen GmbH & Co. KG,https://www.kigaroo.de,support@kigaroo.de,"Apr 29, 2020","May 04, 2021",Everyone,https://www.kigaroo.de/de/datenschutz/,False,False,False,2021-06-16 12:47:55
Onet Games : Classic Connect Animal & Fruit Link,com.onetgames.classic.animal.fruit.link.onet,Strategy,4.2,21,"1,000+",1000,3574,True,0,USD,4.6M,4.1 and up,Puzzle and Ludo Games for Kids,https://puzzleboardgames.club,puzzleandboardgames@outlook.com,"Sep 17, 2019","May 25, 2021",Everyone,https://puzzlegameprivacypolicy.wordpress.com/privacy-policy/,True,False,False,2021-06-16 12:47:55
eShop,com.eshop.asus.dedication,Shopping,5.0,49,100+,100,209,True,0,USD,3.8M,4.4 and up,SDR Creations,,sonalirobin3348@gmail.com,"Aug 25, 2018","Aug 25, 2018",Everyone,,True,False,False,2021-06-16 12:47:56
Radio P4 Kalmar Sverige live Free Sveriges Radio,com.appseo.radiop4kalmar,Music & Audio,0.0,0,50+,50,64,True,0,USD,8.7M,4.1 and up,"Appseo - Radio Online - Music & Audio, Radio FM AM",https://sites.google.com/view/appaso-radioonline/home,janjanu237@gmail.com,"Nov 12, 2019","Jun 06, 2020",Teen,https://sites.google.com/view/appaso-radioonline/home,True,False,False,2021-06-16 12:47:56
ESMRMB 2019,com.smartabstract.esmrmb2019,Medical,0.0,0,100+,100,305,True,0,USD,24M,4.4 and up,Smart Abstract,https://www.smart-abstract.com,info@smart-abstract.com,"Sep 13, 2019","Sep 24, 2019",Everyone,https://www.smart-abstract.com/datenschutzerklaerung.php,False,False,False,2021-06-16 12:47:56
Holy Gospel,com.simplesoftwarestudio.gospel,Books & Reference,4.6,18,"1,000+",1000,1309,True,0,USD,419k,1.6 and up,Simple Software Studio,https://sites.google.com/site/simplesofwarestudio,simple.software.studio@gmail.com,"Feb 8, 2013","Feb 10, 2013",Everyone,,False,False,False,2021-06-16 12:47:56
Himachal Pradesh GK,com.himachalpradeshsamanyagyan.himachalpradeshgk,Education,3.5,446,"50,000+",50000,81782,True,0,USD,4.2M,4.0.3 and up,KNOWLEDGE GURU,http://studycurrent.com,knowledgeguru96@gmail.com,"Sep 14, 2016","Oct 07, 2020",Everyone,http://indiagkonline.com/privacy-policy-for-app/,True,False,False,2021-06-16 12:47:56
Janmashtami GIF : Krishna Stickers For Whatsapp,com.gifapps.lordkrishna.KrishnaGIFImages,Lifestyle,4.0,45,"5,000+",5000,7357,True,0,USD,40M,5.0 and up,Latest GIF Images & Wishes 2021,https://gifimagesappteam.blogspot.com,cruzer134@yahoo.com,"Aug 24, 2017","Jun 27, 2020",Mature 17+,https://gif2018.wordpress.com/2018/09/20/gif-2018/,True,False,False,2021-06-16 12:47:56
Capper,com.capper.capperapp,Productivity,0.0,0,100+,100,104,True,0,USD,14M,4.1 and up,Alethe Labs,,info@aletheconsulting.com,"Jun 6, 2018","Jun 07, 2018",Everyone,http://alethelabs.com/privacy-policy/,False,False,False,2021-06-16 12:47:56
WindowCare,com.andersen.prodawsvcapp01,Business,3.7,7,500+,500,748,True,0,USD,4.5M,4.1 and up,Andersen Corporation,http://www.andersencorporation.com/,mark.gilbert@andersencorp.com,"May 8, 2017","Jun 07, 2021",Everyone,https://www.andersenwindows.com/privacy/,False,False,False,2021-06-16 12:47:56
Basic Car Engine,com.kbayu78.learnbasiccarengines,Books & Reference,4.2,18,"1,000+",1000,2460,True,0,USD,4.2M,4.1 and up,Kbayu78,https://textblog78.blogspot.com/,kabayu179@gmail.com,"Sep 1, 2019","Apr 11, 2021",Everyone,,True,False,False,2021-06-16 12:47:56
Animal Alphabet,appinventor.ai_lightworld813.animal,Education,5.0,36,100+,100,158,True,0,USD,14M,6.0 and up,Light world,https://becf0b7ca.app-ads-txt.com,lightworld813@gmail.com,"Dec 23, 2019","May 07, 2021",Everyone,,True,False,False,2021-06-16 12:47:56
ONJ Cameroon,cm.onjcameroun.mobile.app,Communication,4.4,5,"1,000+",1000,2445,True,0,USD,12M,4.1 and up,ITE EXPERT SARL,,iteexperts1@gmail.com,"Dec 15, 2019","Sep 10, 2020",Everyone,,True,False,False,2021-06-16 12:47:56
Wadlbeißer,de.pfattner.speedo.android,Sports,4.0,783,"50,000+",50000,98875,True,0,USD,9.3M,5.0 and up,Marco Pfattner,http://www.wadlbeisser.org,wadlbeisserapp@gmail.com,,"Apr 14, 2021",Everyone,https://www.wadlbeisser.org/privacy.html,False,False,False,2021-06-16 12:47:56
LernSax,de.digionline.webweaverlernsax,Education,2.1,1757,"100,000+",100000,187167,True,0,USD,4.6M,5.0 and up,DigiOnline GmbH,http://www.digionline.de,unternehmen@digionline.de,"Oct 1, 2020","May 28, 2021",Everyone,https://www.lernsax.de/wws/9.php#/wws/1494114.php,False,False,False,2021-06-16 12:47:56
Test y examenes PIR,academia_en_tu_movil.test_pir,Education,0.0,0,500+,500,825,True,0,USD,10M,4.4 and up,"La academia en tu movil , oposiciones y examenes",,academiaopositar@gmail.com,"Apr 5, 2019","Feb 04, 2020",Everyone,https://testgratisexmenesanterioresoposiciones.wordpress.com/2020/04/10/politica-privacidad,True,False,False,2021-06-16 12:47:56
First aid,pl.mobiem.android.first_aid,Parenting,3.9,67,"5,000+",5000,7955,True,0,USD,20M,4.1 and up,Mobiem,http://www.mobiem.pl,support@mobiem.pl,"Aug 13, 2015","Apr 27, 2020",Everyone,http://regulamin.mobiem.pl/regulamin_MOBIEM_09_11_2015.pdf,True,False,False,2021-06-16 12:47:56
"Birthdays - Reminder, Calendar & Greeting Cards",com.Birthdays.alarm.reminderAlert,Lifestyle,4.3,12622,"500,000+",500000,715508,True,0,USD,9.2M,4.1 and up,Team Birthdays,http://www.birthdays-app.com/,support@birthdays-app.com,"Jan 12, 2017","Jun 04, 2021",Everyone,https://www.iubenda.com/privacy-policy/8043994,False,True,False,2021-06-16 12:47:57
"Homie - Food, drink et lieux cools",com.homie,Lifestyle,4.8,21,"1,000+",1000,2155,True,0,USD,8.5M,5.0 and up,Homie App,http://www.homie.fr,team@homie.fr,"Mar 4, 2018","Sep 24, 2019",Teen,https://www.homie.fr/cgu,False,False,False,2021-06-16 12:47:57
Azoi: DIY Judaism,com.azoi,Education,5.0,67,"1,000+",1000,2066,True,0,USD,11M,4.1 and up,Azoi inc.,https://www.azoi.org/,Info@azoi.org,"Dec 11, 2019","Jan 17, 2020",Everyone,https://docs.google.com/document/d/e/2PACX-1vRoWIBrNHzezP2OOTcEjdP7xr7K-c0dEjNGAlzxPdMKHWOzLGM8AWdi0euEc9eKY6tpWoaQnYUkOcTS/pub,False,False,False,2021-06-16 12:47:57
CMWare,at.appmonkey.cbtbeton,Business,5.0,10,100+,100,297,True,0,USD,6.2M,4.4 and up,App Monkey Development Studio GmbH,http://www.digi-gebau.com,office@digi-gebau.com,,"Jun 07, 2021",Everyone,https://www.digi-gebau.com/datenschutz/,False,False,False,2021-06-16 12:47:57
The Cover Up 4 mavsum 10-13 sonlar qo'shiqlari,com.uzmedia.thecoverup_4_11_13,Music & Audio,4.9,8,"1,000+",1000,3633,True,0,USD,60M,4.1 and up,Navosoft,,uzbmuz19@gmail.com,"Aug 1, 2019","Aug 01, 2019",Everyone,https://telegra.ph/Privacy-Policy-08-01-11,True,False,False,2021-06-16 12:47:57
tropicalida 89.9,com.sariapps.radiotropicalida899emisoradenicaraguagratis,Music & Audio,0.0,0,500+,500,598,True,0,USD,4.0M,4.0.3 and up,sariapps,,detente1minuto@gmail.com,"Jun 17, 2019","Oct 17, 2019",Teen,https://www.facebook.com/notes/aplicaciones/privacy-policy-for-mobile-applications/2136996749887867/,True,False,False,2021-06-16 12:47:57
گلچین آرمین 2afm,com.arminzareiallsongs,Music & Audio,4.2,110,"10,000+",10000,12275,True,0,USD,7.4M,2.3 and up,Navar Cassette,,ncaset5@gmail.com,"Mar 19, 2020","Feb 15, 2021",Teen,https://ppnavarcaset.blogspot.com/2019/12/ppnavarcaset.html,True,False,False,2021-06-16 12:47:57
Candles Decorations,com.frbrd.Candle.Decorating.Ideas,Lifestyle,3.8,11,"1,000+",1000,4291,True,0,USD,10M,4.1 and up,cinderella,,ameliabirdena@gmail.com,"Feb 8, 2016","Apr 26, 2020",Everyone,http://ameliabirdena.blogspot.com.tr/2016/12/normal-0-21-false-false-false-tr-x-none.html,True,False,False,2021-06-16 12:47:57
SnowTV,media.snw.snow,Lifestyle,3.0,6,"1,000+",1000,1680,True,0,USD,3.9M,5.0 and up,S&W,http://www.snw.media,ctv@snw.media,"Apr 14, 2019","Jun 18, 2019",Everyone,http://www.snw.media/wp-content/uploads/Privacy-Policy-1.pdf,True,False,False,2021-06-16 12:47:57
Nagore New Spelling Learning App,com.nagore.nagorenewspellinglearningapp,Education,0.0,0,10+,10,12,True,0,USD,2.4M,4.0.3 and up,Nagore Mahendrakumar Pitamber,,mahendrakumrnagore@gmail.com,"Nov 20, 2018","Nov 29, 2018",Everyone,,False,False,False,2021-06-16 12:47:57
HonestApp - Anonymous Feedback Platform,com.waoapps.honestapp,Social,3.4,14,500+,500,799,True,0,USD,3.2M,4.1 and up,HonestApp,http://honestapp.in,honestapp.in@gmail.com,"Oct 13, 2017","Oct 13, 2017",Teen,http://honestapp.in/Privacy.jsp,False,False,False,2021-06-16 12:47:57
Rein,com.rein.app,Business,5.0,5,10+,10,36,True,0,USD,25M,5.0 and up,GDTS Joint Stock Company,,rein.funiture@gmail.com,"Dec 27, 2020","May 13, 2021",Teen,http://suusoft.com/,False,False,False,2021-06-16 12:47:57
betterbanking.app,app.betterbanking.mobile,Finance,0.0,0,100+,100,131,True,0,USD,76M,5.0 and up,Better Financial Corporation,https://betterbanking.app/,support@betterbanking.app,"May 17, 2021","Jun 15, 2021",Everyone,https://betterbank.app/privacy,False,False,False,2021-06-16 12:47:57
Dog Wallpapers PRO,dogspro.wall7Fon,Personalization,0.0,0,10+,10,17,False,2.99,USD,8.1M,4.1 and up,7Fon Wallpapers,https://7fon.org,support@7fon.org,"Dec 23, 2019","Apr 30, 2021",Everyone,https://7fon.org/Политика_конфиденциальности/,False,False,False,2021-06-16 12:47:57
Ketch Color Book Paint,com.ketch.colorbook_paint,Entertainment,0.0,0,10+,10,45,True,0,USD,8.9M,8.0 and up,KetchapPro,https://ketchappro.com,ketchappro@gmail.com,"May 7, 2020","May 08, 2020",Everyone,https://ketchappro.com/privacy-policy/,True,False,False,2021-06-16 12:47:57
"닭쿡- 다이어트레시피전문매거진,다이어트 레시피 요리영상",com.dakcook.web,Lifestyle,3.8,13,"1,000+",1000,2942,True,0,USD,24M,4.1 and up,주식회사 푸드나무,http://www.dakcook.com,admin@foodnamoo.com,"Apr 7, 2017","Apr 07, 2017",Teen,,True,False,False,2021-06-16 12:47:57
Blues Radio Stations Online - Blues FM AM Music,apps.pandoutah.radio.blues,Music & Audio,4.3,54,"5,000+",5000,9291,True,0,USD,5.3M,4.1 and up,Music in the Meadow,http://pandoutah.com,help.pandoutah@gmail.com,"Mar 22, 2018","Nov 25, 2020",Everyone,https://storage.googleapis.com/pandoutah/policy/policy.txt,True,False,False,2021-06-16 12:47:57
DSS YEARBOOK,com.ddng.dybdss,Books & Reference,0.0,0,10+,10,18,True,0,USD,17M,4.1 and up,DIVINEDIGITAL,http://www.divinedigital.com.ng,iamxp2020@gmail.com,"Jan 8, 2020","Feb 07, 2020",Teen,,True,False,False,2021-06-16 12:47:57
KiDS POT,com.switch_smile.kids_pot,Events,0.0,0,100+,100,151,True,0,USD,6.1M,Varies with device,"Switch Smile Co., Ltd",http://kidspot.jp/,okada@switch-smile.com,"May 31, 2019","May 31, 2019",Everyone,http://kidspot.jp/policy/,True,False,False,2021-06-16 12:47:57
WhatsForDinner,ie.whatsfordinner.wfdcustomer,Food & Drink,4.5,613,"10,000+",10000,20940,True,0,USD,11M,4.4 and up,WhatsForDinner,https://whatsfordinner.ie,appsupport@whatsfordinner.ie,"Mar 14, 2018","Jun 01, 2021",Everyone,https://whatsfordinner.ie/terms,False,False,False,2021-06-16 12:47:57
Spider Rope hero 2021 – Vegas Crime City Simulator,com.freeact.rope.hero.superhero.games,Weather,4.7,349,"100,000+",100000,200289,True,0,USD,55M,4.4 and up,Free Crime Action Games 2018,,freeactiongames2018@gmail.com,"May 28, 2021","Jun 07, 2021",Mature 17+,https://sites.google.com/site/freeacttechgamestudio/,True,True,False,2021-06-16 12:47:57
You’re getting old !,com.marginweb.youarenotsoyoung,Entertainment,4.4,1019,"100,000+",100000,130302,True,0,USD,2.4M,3.2 and up,MarginWeb,http://www.marginweb.com,simonrolin@gmail.com,"Jun 17, 2014","Mar 02, 2017",Everyone,http://www.marginweb.com/cgu,True,False,False,2021-06-16 12:47:58
Ceramah yusuf mansyur kun fayakun,com.dnmobilestudio.yusufmasyurkunfayakunceramahoffline,Music & Audio,0.0,0,100+,100,235,True,0,USD,98M,4.4 and up,DN MOBILE STUDIO,https://dnmobilestudio.blogspot.com/,dnmobilestudio@gmail.com,"Jul 28, 2020","Aug 12, 2020",Everyone,https://dnmobilestudio.blogspot.com/p/privacy-policy.html,True,False,False,2021-06-16 12:47:58
Double A,com.bidwrangler.doublea,Business,0.0,0,100+,100,165,True,0,USD,20M,4.4 and up,Double A Auction & Realty,http://doublea.auction,andy@doublea.auction,"Jan 2, 2017","Jan 25, 2021",Everyone,https://doublea.bidwrangler.com/terms,False,False,False,2021-06-16 12:47:58
Pocket Academy ZERO,net.kairosoft.android.school1_ja,Casual,3.7,10825,"1,000,000+",1000000,1176349,True,0,USD,Varies with device,Varies with device,"Kairosoft Co.,Ltd",https://kairopark.jp/android/?from=m16,support@kairopark.jp,"Dec 21, 2012","Feb 25, 2020",Everyone,http://kairopark.jp/android/priv.html,True,False,False,2021-06-16 12:47:58
Puzzles - Pedigree Cats,net.puzzllesfun.pedigreecats,Puzzle,0.0,0,0+,0,0,True,0,USD,3.3M,5.0 and up,FR Dev Lab,,chrysanthos96neofytos0213@gmail.com,"Nov 27, 2020","Nov 27, 2020",Everyone,https://sites.google.com/view/puzzles-pedigree-cats/,False,False,False,2021-06-16 12:47:58
Entel Ventas,com.outsystemsenterprise.entel.PEMayorista,Productivity,3.5,206,"50,000+",50000,92247,True,0,USD,26M,5.0 and up,Entel Mayoristas,http://www.entel.pe,entel.mayoristas.peru@gmail.com,"Jan 17, 2019","Apr 04, 2020",Everyone,http://www.entel.pe/wp-content/uploads/2018/01/codigo-de-etica-08-01-18.pdf,False,False,False,2021-06-16 12:47:58
اسعار العملات اليوم فى الكويت,com.sangam.kuwaitcurrencyprices,Finance,3.9,18,"1,000+",1000,2915,True,0,USD,2.7M,4.0 and up,sangam,,askndria@gmail.com,"Sep 2, 2018","Sep 02, 2018",Everyone,https://docs.google.com/document/d/15WENFmJgWBJqUFpEPPDTXHrIhIvkOaK2MyMFzcali1M,True,False,False,2021-06-16 12:47:58
Win Cash Price,win.cashprice,Educational,4.2,8,50+,50,96,True,0,USD,7.4M,4.1 and up,TRIO TECH,,mswaroophaldar@gmail.com,"Nov 1, 2019","Nov 02, 2019",Everyone,,True,False,False,2021-06-16 12:47:58
Tulsa Map and Walks,com.gpsmycity.android.u394,Travel & Local,0.0,0,500+,500,563,True,0,USD,73M,7.0 and up,"GPSmyCity.com, Inc.",https://www.gpsmycity.com,helpdesk@gpsmycity.com,"Jul 8, 2013","Mar 18, 2021",Everyone,https://www.gpsmycity.com/privacy-policy.html,True,True,False,2021-06-16 12:47:58
Music player :World No 1,com.music.playerworld,Music & Audio,4.6,18,100+,100,464,True,0,USD,6.7M,5.0 and up,Mini Vigo,,ankurnic12@gmail.com,"Dec 6, 2020","Dec 09, 2020",Everyone,https://helloindiaapp.blogspot.com/2020/12/privacy-policy.html,True,False,False,2021-06-16 12:47:58
107.1 WIRX Rock Radio Station Fm Michigan Online,com.allinoneapps.radio1071wirxrock,Music & Audio,0.0,0,5+,5,7,True,0,USD,8.1M,4.4 and up,All In One Apps,https://allinoneappssa.blogspot.com/,allinoneappss@gmail.com,"May 7, 2020","Mar 04, 2021",Teen,http://appsmoment.net/google/107.1%20WIRX%20Rock%20Radio%20Station%20Fm%20Michigan%20Online.html,True,False,False,2021-06-16 12:47:58
Tomb of the Mask,com.playgendary.tom,Action,4.4,1593681,"100,000,000+",100000000,216701970,True,0,USD,68M,5.0 and up,Playgendary Limited,http://www.playgendary.com/,support@playgendary.com,"Jun 19, 2018","Mar 10, 2021",Everyone,http://www.playgendary.com/privacy-policy/,True,True,False,2021-06-16 12:47:58
Basketball casino,com.strictlyfungames.basketballcasino,Casual,0.0,0,100+,100,347,True,0,USD,48M,4.1 and up,Strickly Fun Games,https://mangosteenllc.com/,stricklyfungames@gmail.com,"Aug 10, 2019","Aug 10, 2019",Everyone,https://mangosteenllc.com/privacypolicy.html,True,False,False,2021-06-16 12:47:58
Flippy Santa,com.CharmingApe.FlippySanta,Casual,0.0,0,"1,000+",1000,1989,True,0,USD,12M,4.1 and up,Charming Ape Software,https://www.charmingape.com,support@charmingape.com,"Nov 28, 2019","Jan 07, 2020",Everyone 10+,https://www.charmingape.com/privacy,True,False,False,2021-06-16 12:47:58
Photo 3D Cube Live Wallpaper,com.qbkapps.photolpw,Tools,3.9,11,"1,000+",1000,2043,True,0,USD,7.4M,4.0.3 and up,qbkvideoeditorandmaker,,qbkvideoeditor.live1@gmail.com,"Sep 5, 2018","Sep 05, 2018",Everyone,http://qbkvideoeditors.blogspot.com/2018/06/at-qbk-video-makers-we-recognize-that.html,True,False,False,2021-06-16 12:47:58
elearning V4 lite,air.com.magazines88.elearninglite,Education,0.0,0,500+,500,548,True,0,USD,15M,4.0 and up,LiveABC,http://www.liveabc.com,services_apps@liveabc.com,"Mar 1, 2016","Nov 10, 2017",Everyone,http://program.magazines88.com/privacy/privacy.asp?rnd=53503769,False,False,False,2021-06-16 12:47:58
