App Id,Category,Result,Error Message,Version Code
bharat.browser,COMMUNICATION,False,Download unavailable for the given sdk_version,
bible.en.francais.COURANT,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
biblia.almeida.revista.e.corrigida,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
biblia.de.ESTUDIO,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
biblia.de.estudos.gratis.para.jovens,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
biggiant.prisonescape,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
bigprofilephoto.bigprofilepicture,SOCIAL,False,Download unavailable for the given sdk_version,
biz.binarysolutions.signature,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
biz.trans,SOCIAL,False,Download unavailable for the given sdk_version,
blackart.leddigiclock.livewp,PERSONALIZATION,False,Download unavailable for the given sdk_version,
bldg.crafting.explore.survival.parablum,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
borderLight.LEDColor.live.Wallpaper.freeborderlight.edgescreen.edgelighting.wallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
br.android.receita,LIFESTYLE,False,Download unavailable for the given sdk_version,
br.com.abacomm.embratel.nonodigito,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
br.com.casamentos.launcher,LIFESTYLE,False,Download unavailable for the given sdk_version,
br.com.correios.preatendimento,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
br.com.cybercook.receitas,LIFESTYLE,False,Download unavailable for the given sdk_version,
br.com.delxmobile.cpflite,TOOLS,False,Download unavailable for the given sdk_version,
br.com.mobicare.oiwifi,TOOLS,False,Download unavailable for the given sdk_version,
br.com.timbrasil.meutim,TOOLS,False,Does not exist for the given sdk_version,
br.com.uol.batepapo,SOCIAL,False,Download unavailable for the given sdk_version,
br.com.vivo,TOOLS,False,Download unavailable for the given sdk_version,
br.com.vivo.vivoeasy,LIFESTYLE,False,Download unavailable for the given sdk_version,
br.gov.ba.sacdigital,SOCIAL,False,Download unavailable for the given sdk_version,
br.gov.caixa.bolsafamilia,SOCIAL,False,Download unavailable for the given sdk_version,
br.gov.caixa.trabalhador,SOCIAL,False,Download unavailable for the given sdk_version,
br.gov.dataprev.carteiradigital,TOOLS,False,Download unavailable for the given sdk_version,
br.gov.dataprev.meuinss,PRODUCTIVITY,False,Does not exist for the given sdk_version,
br.gov.mds.cadastrounico,TOOLS,False,Download unavailable for the given sdk_version,
br.gov.pr.celepar.sefa.nfparana,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
br.gov.serpro.cnhe,TOOLS,False,Download unavailable for the given sdk_version,
br.gov.sinesp.cidadao.android,TOOLS,False,Download unavailable for the given sdk_version,
br.jus.tse.eleitoral.etitulo,SOCIAL,False,Download unavailable for the given sdk_version,
br.jus.tse.resultados,TOOLS,False,Download unavailable for the given sdk_version,
braveheart.apps.apkinstaller,TOOLS,False,Download unavailable for the given sdk_version,
bravoo.instagramdownloader,TOOLS,False,Download unavailable for the given sdk_version,
browser4g.fast.internetwebexplorer,COMMUNICATION,False,Does not exist for the given sdk_version,
buba.electric.mobileelectrician,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
bubble.escape,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
by.mts.client,COMMUNICATION,False,Download unavailable for the given sdk_version,
ca.bell.selfserve.mybellmobile,COMMUNICATION,False,Download unavailable for the given sdk_version,
ca.virginmobile.myaccount.virginmobile,COMMUNICATION,False,Download unavailable for the given sdk_version,
calc.gallery.lock,TOOLS,False,Does not exist for the given sdk_version,
call.free.international.phone.call,COMMUNICATION,False,Download unavailable for the given sdk_version,
call.name.announcer,COMMUNICATION,False,'Item not found.',
call.recoderapk,PRODUCTIVITY,False,'Item not found.',
call.recorder.automatic.acr,TOOLS,False,Download unavailable for the given sdk_version,
call.sms.flash.alert,PRODUCTIVITY,False,Does not exist for the given sdk_version,
caller.id.phone.number.block,COMMUNICATION,False,Download unavailable for the given sdk_version,
callerid.truecaller.trackingnumber.phonenumbertracker.block,COMMUNICATION,False,Download unavailable for the given sdk_version,
callername.truecaller.callerid.mobile.number.phonenumberlocator,COMMUNICATION,False,'Item not found.',
callid.name.announcer,COMMUNICATION,False,Download unavailable for the given sdk_version,
cam.light.android,SOCIAL,False,Does not exist for the given sdk_version,
camscanner.documentscanner.pdfreader,PRODUCTIVITY,False,Does not exist for the given sdk_version,
canvasm.myo2,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
cars.screen.lock.wallpaper,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
cgg.gov.ghmc,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
ch.smalltech.battery.free,TOOLS,False,Download unavailable for the given sdk_version,
ch.zhaw.facerecognition,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
champ.cash.com,SOCIAL,False,'Item not found.',
chat.amor,COMMUNICATION,False,Download unavailable for the given sdk_version,
chat.hack.hackchat,COMMUNICATION,False,Does not exist for the given sdk_version,
chat.meme.inke,SOCIAL,False,Download unavailable for the given sdk_version,
chatel.aipp,COMMUNICATION,False,'Item not found.',
city.urban.stories.tips,LIBRARIES_AND_DEMO,False,'Item not found.',
cjvg.santabiblia,LIFESTYLE,False,Download unavailable for the given sdk_version,
cl.entel.appswlsdesa,LIFESTYLE,False,Download unavailable for the given sdk_version,
cl.wom.transformacion.appwommobile,COMMUNICATION,False,Download unavailable for the given sdk_version,
cleanmaster.phone.memory.booster.cleaner,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
clr.rksoftware.com.autocomment,COMMUNICATION,False,Download unavailable for the given sdk_version,
cm.clean.master.cleaner.booster.cpu.cooler,TOOLS,False,Download unavailable for the given sdk_version,
cmm.cjq20130603.lion.sun,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
cmm.cjq20130603.nature.road,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
cn.jimex.cnt,LIBRARIES_AND_DEMO,False,'Item not found.',
cn.orangelab.werewolf,SOCIAL,False,Does not exist for the given sdk_version,
cn.wps.moffice_eng,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
cn.wps.moffice_i18n,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
cn.xiaofengkj.fitpro,TOOLS,False,Download unavailable for the given sdk_version,
co.benx.weverse,SOCIAL,False,Download unavailable for the given sdk_version,
co.happybits.marcopolo,COMMUNICATION,False,Download unavailable for the given sdk_version,
co.irl.android,SOCIAL,False,Does not exist for the given sdk_version,
co.kr.sonky.mirror,LIFESTYLE,False,Download unavailable for the given sdk_version,
co.pamobile.gamelauncher,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
co.sada9a,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
co.snaptee.android,LIFESTYLE,False,Download unavailable for the given sdk_version,
co.speechnotes.speechnotes,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
co.spoonme,SOCIAL,False,Download unavailable for the given sdk_version,
co.tamatem.awadcar,GAME_RACING,False,Download unavailable for the given sdk_version,
co.tamatem.hazalhadeedtatweef,GAME_RACING,False,Download unavailable for the given sdk_version,
co.yellw.yellowapp,SOCIAL,False,Download unavailable for the given sdk_version,
codesortie.typedroid,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
colection.wallpaper.hd,PERSONALIZATION,False,Does not exist for the given sdk_version,
color.dev.com.whatsremoved,TOOLS,False,Download unavailable for the given sdk_version,
com.AminatoDev.Yabanat,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.AnderK.WheelScale,GAME_RACING,False,Download unavailable for the given sdk_version,
com.AndroidRingtones,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
com.AngleApp.BomDiaTardeNoiteSemanaAmor,SOCIAL,False,Download unavailable for the given sdk_version,
com.AppRocks.now.prayer,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.AquariumLiveWallpapernn,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.AquariumLiveWallpapers,PERSONALIZATION,False,Does not exist for the given sdk_version,
com.ArtSoft.BalanceBall,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Asteroid.droneremotecontrol,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.BatteryUseStatus,TOOLS,False,Download unavailable for the given sdk_version,
com.BeachLiveWallpaperHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.BeautiFunGames.Nihilumbra,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.BeerMoneyGames.Demolition2,GAME_RACING,False,Download unavailable for the given sdk_version,
com.BirthdayCountdown,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.BlackFoxEntertainment.DriftLegends,GAME_RACING,False,Download unavailable for the given sdk_version,
com.BlackWallpaper.bullandro,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.BlissGames.Juego23,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.BluTurtleGames.HorrorSurvival,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.BrutusGames.jocul2,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.BrutusGames.mobila,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.ButterflyLiveWallpaperHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.CConctOOrrr.PpPhOOnNE.tTvvvTV,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.CactusGames.ClashOfCrime,GAME_RACING,False,Download unavailable for the given sdk_version,
com.CactusGames.ClashOfCrime2,GAME_RACING,False,Does not exist for the given sdk_version,
com.CalendarMonthlyStyle,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
com.CaptainDevTeam.YellowBeeTalkChat,SOCIAL,False,'Item not found.',
com.CarWallpapersApp.AudiWallpaper,PERSONALIZATION,False,Does not exist for the given sdk_version,
com.CarXTech.CarXDriftRacing,GAME_RACING,False,Download unavailable for the given sdk_version,
com.CarXTech.CarXDriftRacingFull,GAME_RACING,False,Download unavailable for the given sdk_version,
com.CarXTech.highWay,GAME_RACING,False,Download unavailable for the given sdk_version,
com.ChinaMobile,LIFESTYLE,False,Does not exist for the given sdk_version,
com.Chorrus.SuperOscar,GAME_ADVENTURE,False,Does not exist for the given sdk_version,
com.CikletGames.PokeGOFight,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Cpa.Cute.Butterfly.Emoji.Keyboard,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.CrazyDev.HashiriyaDrifter,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Custom.Keyboard.Color.Changer,PERSONALIZATION,True,,24
com.DS.DDS,GAME_RACING,False,Download unavailable for the given sdk_version,
com.DanVogt.DATAWING,GAME_RACING,False,Download unavailable for the given sdk_version,
com.DefaultCompany.SCPSirenHead,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.DenisLapiner.MultiplatformRuntimeLevelEditor,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.DiamondHeartsLiveWallpaperHDHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Dollhouse.Games.For.Girls,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.DubaiNightLiveWallpaperHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.EG.LACrimeStories4,GAME_RACING,False,Download unavailable for the given sdk_version,
com.EG.MC3,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Earthkwak.Platformer,GAME_ADVENTURE,True,,29
com.Etira.JustDrift,GAME_RACING,False,Download unavailable for the given sdk_version,
com.FanaeiGameStudio.Game41148,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.FireworksliveWallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.FiveUpreme.Site19,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.FluffyHeartsLiveWallpaperHQ,PERSONALIZATION,False,Does not exist for the given sdk_version,
com.GS.Superhero.Tricky.bikerace.kidsgames,GAME_RACING,False,Download unavailable for the given sdk_version,
com.GS.Superhero.carracing.extreme.speedstunts,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Garden.wallpaper.flowerwallpaper.flowergarden.forestwallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.GezegenSfot.AtesveSuKacmaOyunu,GAME_ADVENTURE,False,'Item not found.',
com.GjIFapp.kharouf,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.GlowingFlowersLiveWallpaperHDHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.GodLiveWallpapers,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Gseeds.JekyllAndHyde,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.HAapp.Lawyer,LIBRARIES_AND_DEMO,False,'Item not found.',
com.HTpixelstudio.warhip.fury.warships.blitz.navy.helicopter.gunship,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.HirayaSpace.SevenYears,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.IMStudio.PocketRallyLite,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Ice.Princess.Doll.House,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Ice.Princess.Doll.House.Design.PGA,LIFESTYLE,True,,5
com.IceStorm.DragBattle,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Ilock.Ios10.Iphonelockscreen,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Instrumental.Music.Ringtones,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.Interactive707.VoxelCraft,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.JXY.offroadhillracing,GAME_RACING,False,Download unavailable for the given sdk_version,
com.JanRaacke.DiveVulcanoVRDemo,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
com.JournalWithLock.SecretDiary.DreamDiary,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.KidsGames.SuperHippo,GAME_ADVENTURE,False,Does not exist for the given sdk_version,
com.KidsGames.SuperHippo2,GAME_ADVENTURE,False,Does not exist for the given sdk_version,
com.LoveCalculatorScannerTest,PERSONALIZATION,False,Does not exist for the given sdk_version,
com.MacrosFlash.AdventureinTemple,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.MantisGames.FormulaUnlimitedFREE,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Mas40.QC,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.MegaJoy.PrisonBreak68,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.MegaJoy.Rescue,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.MiANSES,SOCIAL,False,Download unavailable for the given sdk_version,
com.MicroFuture.VoiceInput,PRODUCTIVITY,False,Download unavailable for the given sdk_version,
com.MobimiGames.CarDrivingSimulator2018UltimateDrift,GAME_RACING,False,Download unavailable for the given sdk_version,
com.MobimiGames.CarSimulator2018,GAME_RACING,False,Download unavailable for the given sdk_version,
com.MobimiGames.ESCarSimulator2019,GAME_RACING,False,Download unavailable for the given sdk_version,
com.MobimiGames.FuriousCarDriving,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Nano.My.Photo.Custom.Keyboard,LIFESTYLE,True,,12
com.NoonDate,SOCIAL,False,Download unavailable for the given sdk_version,
com.OppanaGames.RussianCars8,GAME_RACING,False,Does not exist for the given sdk_version,
com.OppanaGames.RussianCarsPriora,GAME_RACING,False,Download unavailable for the given sdk_version,
com.PSVGamestudio.PranksterDjy,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.PSVStudio.BirthdayParty,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.PSVStudio.HippoBabyBall,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Pad.tvapp,LIFESTYLE,True,,71
com.Pet.House.Games.Girls,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.PhotoVideoMaker.Videoeditor.gifeditor.musicsnaps.tz,LIBRARIES_AND_DEMO,False,'Item not found.',
com.PinnacleLabs.wifihotspot,COMMUNICATION,True,,23
com.PoliceGranny.OfficerBranny.ScaryHorrorGames,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.PuppiesLiveWallpaperHDHQ,PERSONALIZATION,False,'Item not found.',
com.RAM.AMAZINGMAZE,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Rababa.hunter,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.RacingCarsLiveWallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.RanatIslamia2020.IslamicNasheed.IslamiciRgtones2020,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.RbwInteractive.fortyfourCats,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.Relmtech.Remote,TOOLS,False,Download unavailable for the given sdk_version,
com.RetrostyleGames.LastPirate.deadthieves,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.RetrostyleGames.SpiritRun,GAME_RACING,False,Download unavailable for the given sdk_version,
com.Rose.Clock.Live.Wallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.S2.WaStickerApps,COMMUNICATION,False,Does not exist for the given sdk_version,
com.SGS.DrivingSchoolGames.RealCarParkingSimulator,GAME_ADVENTURE,False,Does not exist for the given sdk_version,
com.Salat3laRassoul,LIBRARIES_AND_DEMO,False,Does not exist for the given sdk_version,
com.Shareitapplication.shareit,SOCIAL,False,Download unavailable for the given sdk_version,
com.SimpleDate.FaMy,SOCIAL,False,Download unavailable for the given sdk_version,
com.SkullsLiveWallpaperHD,PERSONALIZATION,True,,90
com.SkyDivers.asteroids3d,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.SkyDivers.butterfly3d,PERSONALIZATION,False,Does not exist for the given sdk_version,
com.SkyDivers.petals3d,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Sleep.Fan.App.Vex,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.SnowfallLiveWallpapers,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.SouthernPacificOceanFisher.VoiceToText_memo,PRODUCTIVITY,False,Does not exist for the given sdk_version,
com.Spanish.Ringtones,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.Speed.City.Moto.goodgame.U3D,GAME_RACING,False,Download unavailable for the given sdk_version,
com.SpilGames.CarEatsCar,GAME_RACING,False,Download unavailable for the given sdk_version,
com.SpringFlowersLiveWallpaperHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.StarsLiveWallpaperApp,PERSONALIZATION,True,,9
com.StickApps.BuenosDias_BuenasNoches,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.StormLiveWallpaperHD,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Studio17.drawrider,GAME_RACING,False,Download unavailable for the given sdk_version,
com.StudioFurukawa.PixelCarRacer,GAME_RACING,False,'Item not found.',
com.TalkingTom.Raccoon,LIBRARIES_AND_DEMO,False,'Item not found.',
com.Telgame.shadowman,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.TomatoGames.PhotoVideoLockApp,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Top.My.Photo.Keyboard.Themes.Free,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.TotalPlay.totalplaytelefono,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.Transparent.Screen.Live.Wallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.TropicalBeachLiveWallpaperHDHQ,PERSONALIZATION,False,'Item not found.',
com.UnlitGames.BridalRush,GAME_RACING,False,Download unavailable for the given sdk_version,
com.UsTggG.stiiiiiiing.pHnTottv,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.WAStickerApps.catsticker,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WAStickerApps.chavodel8.memes.stickers,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WAStickerApps.dogmeme,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WAStickerApps.love,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WAStickerApps.lovestickersticker,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WAStickerApps.memesmexicanos.stickers,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WaldschratStudios.BackyardParking3D,GAME_RACING,False,Download unavailable for the given sdk_version,
com.WaldschratStudios.ParkingReloaded3D,GAME_RACING,False,Download unavailable for the given sdk_version,
com.WalkthroughforTotallyReliable.DeliveryService,LIBRARIES_AND_DEMO,False,'Item not found.',
com.Wallpapers.Mi10ProWallpapers,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.WaterfallLiveWallpaper,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.WaterfallLiveWallpaperHDHQ,PERSONALIZATION,False,Download unavailable for the given sdk_version,
com.Whatsappsticker.KumpulanStickerLucuKeren,COMMUNICATION,False,Download unavailable for the given sdk_version,
com.WifiDisplay.TV,LIBRARIES_AND_DEMO,False,Download unavailable for the given sdk_version,
com.WildSoda.MineSurvival,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.WildWaterfallsLiveWallpaperBest,PERSONALIZATION,True,,21
com.Write.Pictures.App,LIFESTYLE,False,Download unavailable for the given sdk_version,
com.YovoGames.Kindergarten,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.YovoGames.babyCare2,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.YovoGames.carRepair3,GAME_RACING,False,Download unavailable for the given sdk_version,
com.YovoGames.carwash4,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.YovoGames.doctorBear,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.YovoGames.farm2,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.YovoGames.hair4,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.YovoGames.superMarket,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.ZeoWorks.SlendytubbiesAE,GAME_ADVENTURE,False,Download unavailable for the given sdk_version,
com.a0soft.gphone.aDataOnOff,PRODUCTIVITY,False,Does not exist for the given sdk_version,
com.a0soft.gphone.app2sd,TOOLS,False,Download unavailable for the given sdk_version,
